"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0HiubqhlD4iuegPFy88CNK","Remote Control - Remastered","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","spotify:album:6eGYLONkDMja0MNtZWnRRB","Hello Nasty (Deluxe Version/Remastered 2009)","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1998-07-14","https://i.scdn.co/image/ab67616d0000b273ab1d7b56d97842315dd0fdaa","1","3","178800","https://p.scdn.co/mp3-preview/981a02b09c91d0c924ed1ed60ed64f76ebda368c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","","2020-12-03T17:39:37Z"
"spotify:track:7lEuHpMyKtyWqqNFZXS70w","The Move - Remastered","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","spotify:album:6eGYLONkDMja0MNtZWnRRB","Hello Nasty (Deluxe Version/Remastered 2009)","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1998-07-14","https://i.scdn.co/image/ab67616d0000b273ab1d7b56d97842315dd0fdaa","1","2","215920","https://p.scdn.co/mp3-preview/5b35fccdb50965fb254f61634fb270b18ed7137c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","","2020-12-03T17:39:31Z"
"spotify:track:5fpizYGbi5IQoEraj6FP0R","Intergalactic - Remastered","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","spotify:album:6eGYLONkDMja0MNtZWnRRB","Hello Nasty (Deluxe Version/Remastered 2009)","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1998-07-14","https://i.scdn.co/image/ab67616d0000b273ab1d7b56d97842315dd0fdaa","1","7","231493","https://p.scdn.co/mp3-preview/528b773a6b700eedc91bcd03132cdac0fe1c5d0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","","2020-12-03T17:39:31Z"
"spotify:track:6NyHiQGf7zz9nJWewU05zk","Get It Together","spotify:artist:03r4iKL2g2442PT9n2UKsx, spotify:artist:3ZotbHeyVQKxQCPDJuQ4SU","Beastie Boys, Q-Tip","spotify:album:3Ba5eDpzB4yLBfJsraQM4G","Ill Communication (Deluxe Version/Remastered)","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1994-05-23","https://i.scdn.co/image/ab67616d0000b273e308a6ed654588fcc801f261","1","7","245667","https://p.scdn.co/mp3-preview/62203fdbeb46adfdd76cd029a9fc7a86d2e73497?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","","2020-12-03T17:39:23Z"
"spotify:track:3QpvLBNdkERbTMo8paboPQ","Futterman's Rule - Remastered 2009","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","spotify:album:3Ba5eDpzB4yLBfJsraQM4G","Ill Communication (Deluxe Version/Remastered)","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1994-05-23","https://i.scdn.co/image/ab67616d0000b273e308a6ed654588fcc801f261","1","10","222213","https://p.scdn.co/mp3-preview/b88fd1b719573936f10b433b04d46c53f4b6beee?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","","2020-12-03T17:39:23Z"
"spotify:track:6fyfrrqJe9XOlNNgxHwJ3h","Flute Loop - Remastered 2009","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","spotify:album:3Ba5eDpzB4yLBfJsraQM4G","Ill Communication (Deluxe Version/Remastered)","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1994-05-23","https://i.scdn.co/image/ab67616d0000b273e308a6ed654588fcc801f261","1","13","114653","https://p.scdn.co/mp3-preview/539f225c1d999a82996de124f3dd5f0229669b17?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","","2020-12-03T17:39:20Z"
"spotify:track:66QMEjnBOREU3yprtcTvar","Do It - Remastered 2009","spotify:artist:03r4iKL2g2442PT9n2UKsx, spotify:artist:22282KfMxDo2PMjnBc82I4","Beastie Boys, Biz Markie","spotify:album:3Ba5eDpzB4yLBfJsraQM4G","Ill Communication (Deluxe Version/Remastered)","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1994-05-23","https://i.scdn.co/image/ab67616d0000b273e308a6ed654588fcc801f261","1","14","196106","https://p.scdn.co/mp3-preview/287a9a103f15699c044c5964ebb2d384d37bdc36?cid=9950ac751e34487dbbe027c4fd7f8e99","true","33","","2020-12-03T17:39:20Z"
"spotify:track:0zwMC06SqT16jKJRs3JoQA","Bodhisattva Vow - Remastered 2009","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","spotify:album:3Ba5eDpzB4yLBfJsraQM4G","Ill Communication (Deluxe Version/Remastered)","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1994-05-23","https://i.scdn.co/image/ab67616d0000b273e308a6ed654588fcc801f261","1","19","188173","https://p.scdn.co/mp3-preview/4ba101f34e1c340ecd730956e8558f1fb0555ec6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","","2020-12-03T17:39:18Z"
"spotify:track:4gbHdQTW5ta0jO4Ay3iKvW","B-Boys Makin' With The Freak Freak - Remastered 2009","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","spotify:album:3Ba5eDpzB4yLBfJsraQM4G","Ill Communication (Deluxe Version/Remastered)","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1994-05-23","https://i.scdn.co/image/ab67616d0000b273e308a6ed654588fcc801f261","1","3","216502","https://p.scdn.co/mp3-preview/b06de40683204624b45250cdcd1c510ae540a450?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","","2020-12-03T17:39:14Z"
"spotify:track:6k3rjbgBsLu6qmGpYCO3gN","Alright Hear This - Remastered 2009","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","spotify:album:3Ba5eDpzB4yLBfJsraQM4G","Ill Communication (Deluxe Version/Remastered)","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1994-05-23","https://i.scdn.co/image/ab67616d0000b273e308a6ed654588fcc801f261","1","11","186773","https://p.scdn.co/mp3-preview/8774267820fda811e7100ee1638bf86e936d0a5d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","33","","2020-12-03T17:39:11Z"
